,Ward_id_2008_2017,Variance_2008_2017,Ward_id_2009_2017,Variance_2009_2017,Ward_id_2010_2017,Variance_2010_2017,Ward_id_2011_2017,Variance_2011_2017
0,171,0.023179374351936427,171,0.02567882607134108,171,0.028850984703494696,171,0.03226541287132088
1,183,0.0201938689417553,183,0.02048360586953478,228,0.019872539969596474,228,0.022623915294432317
2,228,0.015977795617872142,228,0.017677599019632492,183,0.018603441105976913,183,0.015863875329077345
3,199,0.012056453565856214,199,0.011405730068343818,199,0.010250374419916858,164,0.010591335589926249
4,378,0.009594499087260807,378,0.00874382306233114,164,0.009751616747111036,311,0.009808125767787881
5,164,0.008079962614270075,164,0.008674126745271802,311,0.008745524696233912,199,0.008298258934618039
6,229,0.007534082261587247,307,0.00795517234096631,307,0.007241765472777821,227,0.007103047535158995
7,402,0.007338249364678402,311,0.007910978503586776,227,0.006970327054601577,265,0.006884283689882845
8,311,0.007303683061080472,245,0.007273545712546816,378,0.0069536985766579405,307,0.006799423935313782
9,307,0.00726598517759672,229,0.007214102651436702,611,0.006851674225138856,611,0.006481184768011619
10,245,0.00712004235386991,611,0.007060240010674014,462,0.0067811084672621215,462,0.006477737359053425
11,611,0.00703892173193083,462,0.006575574399442041,265,0.006472775955382128,245,0.005943462002394906
12,462,0.006302318841315721,402,0.006350466305029931,245,0.006413559768143371,237,0.005497198308592952
13,265,0.005730398193926957,227,0.006196039922531465,229,0.006409545517110413,247,0.005480931035560711
14,227,0.005651184034560362,265,0.006059264485014312,402,0.005301864141226135,173,0.005201234845993761
15,17,0.0051215054553686015,17,0.0052007157573967,17,0.005187167544804677,17,0.005138938672283449
16,296,0.004876964907889456,296,0.004567852704530852,237,0.004904721818989263,255,0.004701373121587489
17,144,0.004707601055267112,237,0.004473451507917857,173,0.004688076329457856,378,0.0046691112693514
18,202,0.004697205756273808,617,0.004425187548162464,617,0.0045639039256149495,617,0.004606928797501103
19,617,0.00426937349337578,202,0.004342313758491097,296,0.004392288357503741,402,0.004443808694240404
20,237,0.0041357194096525215,173,0.004230729098923457,442,0.004199032352501754,296,0.004192146540817271
21,255,0.003846766709885736,144,0.003892968362059512,202,0.004197199241046263,533,0.00409186810714586
22,173,0.003807747148072478,442,0.003874854502540295,247,0.004136071667328086,442,0.0038480630829395867
23,104,0.0037316218576987996,255,0.0036585512173774146,255,0.004113807556105104,229,0.0037881308864577885
24,442,0.0036456451791796406,297,0.003542401418326398,533,0.0037686157443786385,297,0.0037671583813644583
25,263,0.0034199034259664836,533,0.003398035778805703,297,0.003638636558516311,391,0.003762619903447242
26,588,0.003369040622532704,247,0.003348970264771997,144,0.0034228409042780113,202,0.0034007386103581047
27,297,0.0033661689160803545,420,0.0030910164134733244,391,0.003295953648422693,405,0.002932312911989803
28,420,0.0033605925956121537,588,0.0030558978307496645,405,0.0030680543311612783,609,0.0028925727861743066
29,77,0.0033093045421653624,405,0.002980820554082912,335,0.0028651368022189223,376,0.0028271777261602575
30,533,0.003081656520601294,391,0.002930452744288263,609,0.0027671934204440336,11,0.0027924534548564935
31,247,0.0030675261254739556,104,0.0028041138963953334,326,0.0027328285329064417,335,0.0027553349072288002
32,405,0.0029942764614431616,77,0.0027349685414883762,420,0.002686049622523809,144,0.0026705736371968832
33,250,0.0029481936228430324,195,0.002679310530285508,77,0.002622940648917198,397,0.002653230437490449
34,64,0.0029197773117832157,335,0.0026696898099659158,588,0.0026066605840343983,440,0.002630212255893531
35,195,0.0027113660571648516,263,0.002621063729306846,11,0.0026052538655163765,588,0.0024844277645608105
36,391,0.0026609710129272606,609,0.002606176615065104,376,0.0025289828451092395,326,0.0024694409359625846
37,277,0.0026108655014450825,326,0.0025186964386398527,0,0.0025068376907498476,252,0.0024298220333469197
38,465,0.002502375593640366,252,0.0024950869568284703,397,0.002446008848010207,77,0.0023072703491285257
39,609,0.002500957394475653,64,0.002449641846346964,252,0.0024275821003194925,0,0.002238690652142747
40,414,0.0024946329702554017,277,0.00243849081150408,440,0.0023064494090658492,116,0.0022192259689128952
41,203,0.0024793128568042395,11,0.0024305654197151996,104,0.0022330875780006082,420,0.0021744700305802354
42,252,0.002464820662360621,250,0.0023899787541738176,116,0.0020965098342462323,10,0.002083503435755774
43,73,0.0024519304671918587,397,0.002344959878065497,88,0.0020832140275843652,248,0.0020396491268777376
44,335,0.0024086117153835117,0,0.002344904873009831,619,0.0020794085964593798,88,0.002021563391822606
45,326,0.002405513526631263,414,0.0022826384189028872,389,0.0020361711521560844,619,0.0018789460138078616
46,451,0.0023492321531660477,376,0.0022529008124780453,195,0.0020011420842329245,414,0.001853003194027598
47,395,0.0023297186673759394,465,0.0021775404912123364,250,0.0019655386850467855,28,0.001841978976077524
48,397,0.002308148378851946,116,0.0021118627879537556,10,0.001930416795863303,104,0.0018204458356340864
49,422,0.002307790118330668,440,0.0020573286169782794,414,0.0019299759338382895,413,0.0017578087303187074
50,332,0.002257203921355136,610,0.0020440182129923767,248,0.001897165693746333,163,0.0017410944145893972
51,11,0.002229834527376515,327,0.0019832780227446393,64,0.0018731265374492586,318,0.0017373135844804249
52,0,0.002129601378756464,88,0.001960094811763695,610,0.0018229859463716252,105,0.0017236981733263581
53,197,0.0021167093586017993,619,0.0019518353874871204,413,0.0016968469904732435,606,0.0017140302287242848
54,327,0.0020954750506131524,395,0.0019332585723663956,189,0.0016823243097578268,389,0.0017051350925923066
55,376,0.0020737562477581217,248,0.0019087140788210815,163,0.001635498975583952,610,0.0016098648970422965
56,441,0.0020549481513545236,389,0.0018916177186832327,263,0.0016271659017619772,118,0.001546886829997608
57,610,0.002053364740086039,73,0.0018839358144913149,28,0.0016123299315255134,189,0.0015458715691663103
58,401,0.0020518128626601886,332,0.00179407683481193,277,0.001604682386497113,157,0.0015272327380558522
59,268,0.002017191605479468,401,0.0017778100879341533,105,0.0015906575754895164,195,0.0014756046801455561
60,248,0.0019910912155664423,10,0.001719847488189856,606,0.0015508252958483897,591,0.0014521470328500183
61,116,0.0019597122178381236,451,0.0016871352224289524,318,0.0015236564798617631,411,0.0014396453394021481
62,431,0.00192859308976904,413,0.0016450910189651315,411,0.0014668041827751084,291,0.0014247873243672978
63,623,0.0019078005815660211,189,0.0016232278732778863,327,0.0014559216078939153,329,0.0014199920691900759
64,389,0.001894925245052251,179,0.0015949157514502843,395,0.0014303306814618185,381,0.0013679085739344633
65,619,0.0018824601447012131,203,0.0015925369279090286,157,0.0014122316981692261,155,0.0013538006653028016
66,440,0.0018550814867237136,374,0.001568556203907854,591,0.0013680951109813007,300,0.0013023544334082094
67,295,0.0018417179342127732,431,0.0015539945064583878,118,0.001367251042965598,250,0.0012396794690218878
68,161,0.0018236801954721938,441,0.0015481597330461103,374,0.0013574706453962381,117,0.001210471045213929
69,374,0.0018229228260581859,623,0.0015108869299393457,332,0.0013323147981338678,580,0.0011550470246347
70,88,0.0017794574067487381,163,0.001476235885401629,401,0.0013280481892888876,416,0.001133763907941079
71,189,0.0017485833241087146,411,0.0014470162193149212,300,0.0013082205063258982,460,0.001105373784700524
72,200,0.0017215554787554158,105,0.0014373497046508367,441,0.0013072778430673784,158,0.0010690659508289923
73,117,0.0016430931233237921,28,0.0014338983292685478,451,0.0012949131051942977,461,0.0010475327916392352
74,413,0.0015816475007156626,606,0.0014297686404014123,73,0.0012944026193576872,64,0.0010365313298671569
75,10,0.0015511372636537188,318,0.0014029873825067117,155,0.0012734002680990593,113,0.0010317200790212224
76,193,0.0015403725278471617,300,0.0013959334272323537,179,0.0012613023551328658,264,0.001028393877928163
77,567,0.0015268567715848668,167,0.0013886992112637274,291,0.0012528561563520321,451,0.0010213853818748227
78,2,0.001513788385266258,422,0.0013853822739654086,329,0.0012172976968745429,401,0.0009776295830155656
79,612,0.001500654995436325,5,0.0013808446273822544,461,0.00121596207401192,410,0.0009764021381084122
80,154,0.0014836716581927629,591,0.0012879880674340526,20,0.0012058074692285264,115,0.0009683404580706762
81,63,0.0014778818305069405,567,0.0012813099352743497,580,0.001205659558059958,441,0.0009649612257965521
82,70,0.001462630393399735,157,0.0012810991027097968,381,0.0012020252598817578,605,0.0009619759802954035
83,179,0.001437785604754892,461,0.0012236406787206418,5,0.0012001689508428998,167,0.0009600372506085189
84,167,0.0014067091807066746,20,0.001222403115978548,431,0.0011833026692135587,324,0.0009577860370964085
85,66,0.0013997387450934192,197,0.0012160084883514198,460,0.0011460576182676567,5,0.0009505199208450691
86,411,0.0013902641397539179,2,0.0012159679501868971,113,0.0011069504560528793,431,0.0009480423214196018
87,251,0.0013801194332973149,118,0.0012157479187515302,117,0.0010786736882872198,448,0.0009416626996185163
88,300,0.0013748475262430706,580,0.0011942239371843294,416,0.0010318628553664367,103,0.0009340328851558126
89,5,0.001367283069957979,268,0.0011820599756256836,465,0.0010222474246790883,337,0.0009131892179116595
90,580,0.0013471013053395577,460,0.0011743179173774956,261,0.0010084270005517992,179,0.0008993237460778822
91,606,0.0013410720393926348,188,0.0011721957670429075,188,0.001004769479289372,395,0.0008971113383621315
92,416,0.001338510319407594,113,0.0011591374536047737,264,0.000988286050458431,328,0.0008917394063378531
93,163,0.0013286867554259158,117,0.0011500346798786023,174,0.0009760808385947178,423,0.0008819047681217622
94,188,0.0013146289403331505,329,0.0011413936413147423,115,0.0009717301170719473,20,0.0008688272618148715
95,564,0.0013097375735276083,115,0.0011388830804666104,324,0.0009703349894556901,453,0.0008557952497155714
96,105,0.0012997877787079358,264,0.0011370130299244233,410,0.0009575264673444637,146,0.0008420585697796331
97,28,0.001292739364186574,155,0.0011319253862949717,203,0.0009531177460064297,188,0.000824435028024415
98,318,0.001285286289881984,291,0.0011262831138754807,567,0.0009475401208361888,151,0.0008194116342706621
99,149,0.0012734356359266443,70,0.0011168778089814678,78,0.0009396595246609408,73,0.000788286302028381
100,616,0.0012697805745489061,453,0.0010852381179657302,158,0.0009354828437973374,578,0.0007845206477049314
101,286,0.0012628528315131748,63,0.0010750398861997306,605,0.0009309377779033981,564,0.0007837553983838288
102,333,0.0012548860237692847,616,0.0010708826759644374,448,0.0009242550899649732,31,0.0007777621719546175
103,591,0.0012548428852379898,381,0.0010686184386402542,103,0.0009072582670195477,242,0.0007746481283654764
104,428,0.0012390642667747772,612,0.001066693375021167,453,0.000905030701402345,174,0.00077015510981865
105,590,0.0012116206272247796,564,0.0010577647840138197,578,0.0008953314939071839,152,0.0007637375889744102
106,242,0.0011858105377073917,251,0.0010502982966198162,503,0.0008817340538188315,374,0.000760919038845842
107,461,0.0011728312501175168,324,0.0010408517550084303,337,0.0008785319236242589,292,0.000758592968661964
108,62,0.0011699855346827917,174,0.0009901539643263385,242,0.0008523435031907135,604,0.0007314226918052688
109,118,0.0011642773722448298,78,0.0009858271671799872,146,0.0008233387009961443,12,0.0007300816107029699
110,453,0.0011574146195278267,161,0.0009826645736271443,423,0.0008204150269619024,602,0.0007284071529064527
111,157,0.0011530356000678474,410,0.0009816561948191357,13,0.0008108550423969191,75,0.0007076468173632218
112,605,0.0011485359008757943,416,0.0009804920026191847,167,0.0008064672694451585,111,0.0006882048567227488
113,20,0.001146308320455704,193,0.0009731217715513311,310,0.000803128168183377,288,0.0006865909948133547
114,155,0.0011197984339933551,310,0.000957941312757305,194,0.0007924457073338945,191,0.0006861363956579029
115,175,0.0010996389337124403,62,0.000948742288673037,328,0.0007869550995378834,112,0.0006808250945513916
116,264,0.0010951095447588777,605,0.0009477889138462305,70,0.0007842895467288998,503,0.0006751500895357613
117,329,0.0010887902997694142,286,0.0009371506788581198,233,0.0007750515206024864,13,0.0006750288612360896
118,113,0.0010831549247338934,380,0.0009262053567239757,409,0.000770726915819882,567,0.0006698008958224458
119,460,0.0010738752493165426,261,0.0009260816075295158,422,0.0007682209004377593,304,0.0006612543065076254
120,410,0.0010573077018233208,13,0.0009045575988135236,564,0.0007667358614951255,225,0.0006423275485946627
121,115,0.0010571759106678606,428,0.000894235623757289,623,0.0007661789651966517,102,0.0006321216669812333
122,23,0.0010445883014540778,578,0.0008928834891703861,459,0.0007648418372475545,193,0.0006297349754637745
123,291,0.0010369403125741713,409,0.000886260377353503,62,0.0007540201629869613,283,0.0006290151947631201
124,310,0.001008375467665866,423,0.0008773501079818018,152,0.0007389463670376468,449,0.000609285292073375
125,288,0.0009929031440609351,590,0.0008610787764451359,380,0.0007330990084941525,409,0.0006087473521252132
126,174,0.0009761499853191472,66,0.0008574257439756109,193,0.0007223324204526604,261,0.0005980944360448093
127,324,0.0009731501900226488,103,0.0008565044645482501,31,0.0007178337740684085,323,0.0005957532052870088
128,97,0.0009660294103143454,170,0.000845600397110105,151,0.0007173580988383165,310,0.0005939878153318499
129,381,0.000965741672053563,622,0.0008433819854281166,596,0.0007107769283154535,331,0.0005924724514302272
130,582,0.0009640065539060457,233,0.0008420115190460472,292,0.0007086189563773627,424,0.0005848350914122489
131,409,0.0009617450510293953,158,0.0008399168900051495,23,0.0007081780913364064,150,0.0005746291994584479
132,380,0.0009593931185099063,288,0.000832441222772145,12,0.0007051180776606301,596,0.0005742730961125617
133,423,0.0009368872494479067,281,0.0008254376885115819,455,0.0006997782988839791,114,0.0005721894822290714
134,573,0.0009340359609512096,448,0.0008216746667604033,288,0.000697031536572211,19,0.0005719773135054952
135,78,0.0009297571720483511,503,0.0008112930895428723,281,0.0006913698039886147,251,0.0005700679769697738
136,622,0.000913013284276574,23,0.0008105459866641554,161,0.000690334337551956,234,0.0005677343372261892
137,589,0.0009118716485714028,344,0.00080477080218984,344,0.0006891973473716426,233,0.0005619002217323813
138,438,0.000872176387426121,154,0.0008036982800082222,304,0.0006889217984659163,78,0.000556770764526195
139,170,0.0008700527919726985,146,0.0007981339304601499,616,0.000675901550996287,1,0.0005478604894506596
140,385,0.0008676915562126252,337,0.0007960713732124377,602,0.0006673393414771097,287,0.0005477392655474051
