,Ward_id_2008_2017,Variance_2008_2017,Ward_id_2009_2017,Variance_2009_2017,Ward_id_2010_2017,Variance_2010_2017,Ward_id_2011_2017,Variance_2011_2017
0,250,0.0383139015310079,250,0.0401303019486118,250,0.0403060978513122,250,0.04050441821917154
1,173,0.02686869879879935,173,0.025520827441554664,173,0.025486627929505814,173,0.025550287559300673
2,63,0.023416385082485235,63,0.02219400811199594,63,0.020211002571363573,1,0.019993253974242235
3,14,0.021501533807358787,14,0.019007292551616418,1,0.020206422415681456,14,0.019578856719909492
4,242,0.021464508378197293,15,0.01849030441652651,14,0.018962030127622022,15,0.018561614112144013
5,15,0.020498743113405295,1,0.018105808297054805,15,0.018241154012691312,247,0.018451823755158952
6,1,0.0163023385779271,242,0.016763127225396707,462,0.017335880880709843,113,0.017479701140959595
7,197,0.015768350460664146,462,0.015841259543340744,242,0.01685959641716367,462,0.017404116946310083
8,233,0.015437585700853216,247,0.015237936122503412,247,0.016803177332221475,63,0.01562870167880178
9,462,0.015118487832042182,233,0.014658595553450178,113,0.015302163362074095,242,0.015342718069983774
10,199,0.013819537064268467,113,0.013602569317298507,245,0.01417674416151163,245,0.015169210033813317
11,247,0.012899326909654472,199,0.01360061430509224,167,0.014013298481426592,379,0.014640774372497877
12,113,0.012324854541980314,245,0.013155384610426991,379,0.01316782043843564,172,0.014601172202808793
13,327,0.012043084885590916,167,0.012868078723310333,199,0.013151757734061655,167,0.014486135200077011
14,245,0.011856095171924284,177,0.012209976730000202,172,0.01302565916861614,177,0.014432502986193531
15,177,0.011723431071634398,60,0.011835592151093746,177,0.01301265552461601,60,0.01297311951439123
16,167,0.011648103713652309,379,0.011733194448937763,60,0.012522116697122427,351,0.012896290371689498
17,172,0.011307519762185827,172,0.011691834783647347,285,0.011877633175469509,199,0.01271586850709021
18,60,0.011293025426575442,327,0.010948572778418764,351,0.011452917156970659,311,0.012661723414660328
19,379,0.010559915626580854,285,0.010784020717976885,459,0.011171119505409683,285,0.012590880895001598
20,533,0.010290353717638942,171,0.010670560697818639,171,0.01114575449312872,171,0.01210380463499299
21,171,0.009779221229304488,351,0.010349137706796465,311,0.011087939456306116,314,0.01102902619048178
22,160,0.009723588958841973,459,0.010097229716614788,233,0.010981598153337614,160,0.01061743688106136
23,285,0.009705665758777283,311,0.009883636825580197,160,0.01003634057364623,459,0.009577616130525716
24,237,0.0095416679260318,533,0.009780475269113638,17,0.009878985256475126,450,0.009424505231428792
25,351,0.009508923774645755,160,0.009330304661558804,327,0.009770416426005952,17,0.009387172312566092
26,228,0.00934187345247593,228,0.009308340178441198,314,0.009650861970558408,340,0.009077118333795434
27,459,0.009091506745086643,17,0.00913206871685409,450,0.008977001061154004,180,0.008859813935768034
28,311,0.008980084393102869,229,0.008733898188601647,229,0.008761813811807058,312,0.008689140307465036
29,252,0.008979039478027473,450,0.008617179778575275,312,0.008261763127360733,229,0.008465160427026192
30,192,0.008438239057037965,314,0.008594264515379282,180,0.008172684579688679,402,0.008449381318278165
31,17,0.008383257977952193,237,0.008337100470711296,461,0.008001568444175232,535,0.008402776975381726
32,257,0.008246143873709031,10,0.007973660767121367,340,0.007954079890851475,104,0.00819355195887595
33,450,0.008102749583354895,192,0.007865526263549598,79,0.007756702964059626,463,0.008167185789218661
34,229,0.007888623026863387,190,0.007802308877730373,463,0.007747701460855869,2,0.008139627563532413
35,314,0.007748915103097456,312,0.007641292934650026,192,0.007629137381848972,79,0.007924954483964195
36,461,0.007671744749622932,461,0.007625829139254186,533,0.007538936574704909,461,0.007660339313734727
37,190,0.007461451589063928,36,0.007596646817593297,104,0.007522360068328149,183,0.007642785395800049
38,312,0.007412960527386478,180,0.007443981080725914,402,0.007519794452890753,192,0.007545868144676548
39,36,0.007407022160847164,197,0.0074419145352001125,77,0.007393738364687223,233,0.007537100009586207
40,77,0.007357693357040971,340,0.007295320108538618,535,0.007361100563107081,453,0.0074987781309371875
41,10,0.00731186370391433,252,0.007281004746435911,59,0.007291941575823417,277,0.0074947659474298425
42,2,0.007185557578470093,463,0.007043038281567214,190,0.007261732682756898,59,0.007306895062944115
43,180,0.00681635696423234,79,0.007015433113507868,2,0.007248265921709034,316,0.007257880152780213
44,463,0.00678266954467734,77,0.006971172504339691,530,0.0071498343959278685,530,0.007037979739243497
45,530,0.00675145486122012,402,0.00694279320949489,228,0.007107433089057599,71,0.006977724323037933
46,340,0.006737012420062305,59,0.00689157835739866,453,0.0068940913766846945,82,0.006841037084955352
47,6,0.006673739297877339,2,0.006854977966978749,454,0.006762760279291511,335,0.006830555939711038
48,316,0.00656789398981244,530,0.0068178969185641895,252,0.006718712815342075,454,0.006803368612198102
49,402,0.006514027017351218,104,0.006729568878181733,183,0.006687439152885346,190,0.006739669516464058
50,59,0.006469451590440671,535,0.006546150376920722,277,0.006438507307526849,533,0.006553870253914198
51,411,0.0064588858955521924,290,0.0064388011036673794,316,0.006407787989396974,334,0.00647817129639099
52,188,0.006401213621550894,231,0.006344447804953495,290,0.0062640582874807305,157,0.006437509497076632
53,79,0.006331673349126229,183,0.006332349146694445,411,0.006221525146852357,313,0.006296778185654023
54,104,0.006092426185530341,454,0.006323519553944543,157,0.006147106522084909,411,0.006125283382732203
55,535,0.00607641100708361,411,0.006222510671248125,71,0.006131949714376687,449,0.006048357086714276
56,182,0.005987626288078841,453,0.006168048105774626,335,0.006104810016925024,252,0.005976817034545756
57,290,0.0059506868680529994,257,0.006093095376666465,82,0.006095778131224987,506,0.0058279533416333166
58,454,0.005941739320128503,182,0.005903376828540765,334,0.006082463468109114,11,0.005742868184616068
59,333,0.005841348303354268,316,0.0056958329123653105,289,0.006044113925857214,318,0.005678065351698987
60,9,0.005775984852632345,277,0.00568820984881828,231,0.005979394283584369,429,0.005641686064651384
61,117,0.005739597608622825,157,0.0056371612067471905,237,0.005974198905364387,77,0.00547871496255706
62,231,0.005710678224058193,82,0.005550553196306045,313,0.0058734991867725826,455,0.005478526722452069
63,183,0.005707519735692808,335,0.005509626145065531,429,0.005828309223494119,7,0.005385326870332113
64,453,0.005599056770035695,289,0.005504115844526214,257,0.005666086407542928,174,0.0053845939911705155
65,240,0.005503212543932936,71,0.005463186651241044,455,0.0056594882420832205,257,0.005339102226439002
66,265,0.005499007012688805,455,0.005433877506633015,10,0.005587909007806921,464,0.0051895144534294365
67,82,0.005462593841550676,334,0.005411603180313416,7,0.005553542454967546,458,0.005099396270120198
68,455,0.005283697138070092,429,0.0053690096073855074,174,0.0054528089609745135,460,0.005087873221296014
69,334,0.005153412632603571,313,0.005254224838197226,449,0.005310299491058682,240,0.005067317149946689
